test/stochastic/0/faucet-close-v1/return/avg	test/stochastic/0/faucet-close-v1/return/std	test/stochastic/0/faucet-close-v1/return/max	test/stochastic/0/faucet-close-v1/return/min	test/stochastic/0/faucet-close-v1/ep_length	test/stochastic/0/faucet-close-v1/success	test/stochastic/average_success	test/deterministic/0/faucet-close-v1/return/avg	test/deterministic/0/faucet-close-v1/return/std	test/deterministic/0/faucet-close-v1/return/max	test/deterministic/0/faucet-close-v1/return/min	test/deterministic/0/faucet-close-v1/ep_length	test/deterministic/0/faucet-close-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
110370.83894671779	34994.39646978397	183629.59116871702	38511.369835427075	200.0	0.9	0.9	131646.78764661142	0.0	131646.78764661142	131646.78764661142	200.0	1.0	1.0	22	109366.83302230581	43944.75668741703	184796.46072735605	12766.50766721607	200.0	440000	440000	57374.484	35309.312	153021.08	-23696.676	57374.508	35309.03	152624.44	-24807.324	3.9996734	3.1327825	92.21409	-13.919845	-57351.887	2741477.5	2752080.2	16.815282467508315	0.0	0.0	0.97	3983.4033710956573
141362.10467928255	20441.752252484195	167234.1549984561	93985.55239687453	200.0	1.0	1.0	2047.8212624349858	0.0	2047.8212624349858	2047.8212624349858	200.0	0.0	0.0	23	101107.73289323726	43164.013049949426	169439.49725946915	12830.407733184606	200.0	460000	460000	58043.797	35252.438	152566.55	-25300.12	58043.84	35252.02	151809.17	-26838.06	3.9997566	3.1683123	90.29268	-13.840496	-58013.023	2711892.2	2720988.2	17.287430436372755	0.0	0.0	0.95	4162.360230922699
126181.22318800441	31384.09237070466	151500.26913839462	55646.20772883345	200.0	1.0	1.0	136884.00882418713	0.0	136884.00882418713	136884.00882418713	200.0	1.0	1.0	24	116999.76355884757	35423.18814585937	207941.60042471354	5956.097203002408	200.0	480000	480000	59434.54	35626.957	156081.11	-24473.594	59434.65	35626.984	155621.72	-25950.346	3.9951375	3.0903828	98.258545	-12.902829	-59394.83	2664581.0	2653672.2	17.046535715532304	0.0	0.0	0.97	4341.24139547348
89304.81131800546	46810.36128232316	164718.2106957676	32782.55338472642	200.0	1.0	1.0	150220.56670425553	0.0	150220.56670425553	150220.56670425553	200.0	1.0	1.0	25	109424.12789290138	45865.42264824845	177259.34799206472	8347.974109690169	200.0	500000	500000	60523.336	36107.105	158049.64	-28336.982	60523.41	36107.664	158472.77	-29700.002	4.000484	3.0696096	68.58187	-13.636276	-60467.86	2761039.8	2732517.8	16.799422839450838	0.0	0.0	0.94	4520.222044944763
93369.93725380032	58903.82349583365	163220.38456744736	13968.146152902835	200.0	0.8	0.8	154263.67924610537	0.0	154263.67924610537	154263.67924610537	200.0	1.0	1.0	26	112330.5390659329	41195.80557281739	184502.1609360388	6887.634165944071	200.0	520000	520000	61967.6	37021.46	161949.72	-37451.67	61967.656	37022.344	161706.27	-37927.926	4.0008826	3.0525358	70.467155	-12.878544	-61904.473	2793173.5	2767713.0	16.882227022981645	0.0	0.0	0.97	4699.474097967148
112644.8255508435	59722.11335689996	162099.09460446655	-28.541986795234028	200.0	0.8	0.8	152180.20553832484	0.0	152180.20553832484	152180.20553832484	200.0	1.0	1.0	27	108503.71480904528	47032.12575165835	183107.56182730518	14181.201496216292	200.0	540000	540000	63591.105	37840.145	163392.62	-34246.266	63591.0	37841.27	162504.9	-34789.133	3.9965513	3.038814	73.79952	-14.14762	-63521.523	2775331.5	2742761.5	16.837787097644807	0.0	0.0	0.98	4878.538817882538
135518.0039979115	21069.930392185823	172238.62614608448	95786.95759180794	200.0	1.0	1.0	165601.73439113898	0.0	165601.73439113898	165601.73439113898	200.0	1.0	1.0	28	121378.92138330365	43665.161726686914	203574.58038806758	11569.76462909068	200.0	560000	560000	66649.75	39670.42	169211.97	-37956.984	66649.72	39671.04	168044.36	-41383.3	4.0031815	3.039797	67.90801	-15.206796	-66589.19	2766524.5	2745700.8	17.300005542707442	0.0	0.0	0.96	5057.57874250412
126976.84724820257	47299.22831855916	183918.6485364118	18029.748092619797	200.0	0.9	0.9	191973.97413939334	0.0	191973.97413939334	191973.97413939334	200.0	1.0	1.0	29	121292.72868785686	42641.6448015327	193830.89092568116	20609.24083582461	200.0	580000	580000	69987.2	41298.617	175463.48	-42071.348	69987.3	41299.23	175364.1	-42546.473	3.9994562	3.032842	68.827896	-14.090217	-69932.13	2919308.0	2894822.5	17.51262470560074	0.0	0.0	0.97	5236.642931938171
87898.44188722817	23095.81656205442	119461.02411076288	47246.53284558482	200.0	1.0	1.0	106460.34055032798	0.0	106460.34055032798	106460.34055032798	200.0	1.0	1.0	30	124246.30811380643	37955.09171673025	196872.58419628043	4100.31037665362	200.0	600000	600000	72600.29	41976.137	177875.89	-42009.906	72600.27	41976.426	176673.42	-44836.516	3.997091	3.0244403	76.531494	-13.762774	-72544.22	2956178.8	2949275.8	17.763986353111267	0.0	0.0	0.94	5415.682739973068
132856.4465471508	33210.423033214734	188179.1478613386	85274.02278799347	200.0	1.0	1.0	128071.34285348101	0.0	128071.34285348101	128071.34285348101	200.0	1.0	1.0	31	121781.98599785654	41042.87245103527	187806.59399320302	12736.6642957159	200.0	620000	620000	74820.18	42791.47	181688.38	-46024.156	74820.28	42791.49	179349.61	-42504.125	4.0043774	3.0740108	84.89486	-13.112014	-74774.43	2974219.5	2960608.8	18.338104776000975	0.0	0.0	0.98	5594.742703199387
