test/stochastic/0/handle-press-side-v1/return/avg	test/stochastic/0/handle-press-side-v1/return/std	test/stochastic/0/handle-press-side-v1/return/max	test/stochastic/0/handle-press-side-v1/return/min	test/stochastic/0/handle-press-side-v1/ep_length	test/stochastic/0/handle-press-side-v1/success	test/stochastic/average_success	test/deterministic/0/handle-press-side-v1/return/avg	test/deterministic/0/handle-press-side-v1/return/std	test/deterministic/0/handle-press-side-v1/return/max	test/deterministic/0/handle-press-side-v1/return/min	test/deterministic/0/handle-press-side-v1/ep_length	test/deterministic/0/handle-press-side-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
210839.86409696116	48979.207217974	266229.385633371	121121.3535976873	200.0	0.8	0.8	118565.37387245729	0.0	118565.37387245729	118565.37387245729	200.0	0.0	0.0	33	183347.11847478407	59830.023995623094	295134.96342952	49291.28743312815	200.0	660000	660000	131597.77	42238.082	213086.02	-81158.016	131597.78	42238.195	212978.5	-84238.836	4.001583	3.4148133	90.49024	-13.795345	-131545.72	4354228.0	4349952.0	20.57751662530899	0.0	0.0	0.87	5995.57786822319
230282.98433905662	51600.63060242922	283388.69312317466	149775.70420700556	200.0	1.0	1.0	264621.5826560261	0.0	264621.5826560261	264621.5826560261	200.0	1.0	1.0	34	185110.6501004846	51630.45838990519	292002.2869761691	78432.62651856034	200.0	680000	680000	132151.94	42129.996	213787.95	-82371.46	132152.06	42129.367	214386.3	-83889.33	4.001941	3.351374	81.7954	-14.53603	-132111.36	4362328.5	4377361.5	19.992817517375947	0.0	0.0	0.96	6177.600060939789
188397.8428085689	57542.799406307495	289415.9645972976	64355.32668477195	200.0	1.0	1.0	295500.119887972	0.0	295500.119887972	295500.119887972	200.0	1.0	1.0	35	177792.2684012141	57689.539042312375	303006.94714539853	38363.21174335287	200.0	700000	700000	132749.48	42275.312	215083.44	-126317.31	132749.52	42275.37	214676.06	-123045.69	4.0043993	3.4036214	95.89491	-14.090625	-132697.95	4346387.0	4326530.5	20.082635698223115	0.0	0.0	0.9	6358.932031154633
248411.68724368926	20075.241744271127	280730.0249079626	222780.00638519306	200.0	1.0	1.0	237085.3429223148	0.0	237085.3429223148	237085.3429223148	200.0	1.0	1.0	36	191466.0808926639	53553.301002677705	296871.89605522796	74698.36842663064	200.0	720000	720000	133396.52	42122.137	214981.47	-114902.69	133396.36	42122.02	215809.81	-113102.92	4.0000305	3.394555	95.78098	-11.847824	-133364.08	4300042.0	4299904.0	20.14131457271576	0.0	0.0	0.88	6540.778089046478
12469.078699128968	9451.722529195884	28092.837346547283	-31.15765577705519	200.0	0.1	0.1	8663.079682273576	0.0	8663.079682273576	8663.079682273576	200.0	0.0	0.0	37	197238.98914454062	58285.72808370878	301952.078625195	47300.702679770126	200.0	740000	740000	133945.28	42058.035	215216.25	-100864.98	133945.31	42057.97	214839.84	-96916.78	4.001708	3.477724	97.875435	-14.568933	-133920.11	4108886.0	4100146.5	20.174607849788664	0.0	0.0	0.95	6722.444491863251
195118.95581185917	20157.022099785558	228257.8575510518	168738.15130973727	200.0	0.9	0.9	106319.584535876	0.0	106319.584535876	106319.584535876	200.0	0.0	0.0	38	194235.07367045502	58281.86476712974	301524.3641282167	28156.88468675515	200.0	760000	760000	134768.45	41885.51	215012.06	-109612.07	134768.34	41885.965	214814.88	-103932.625	4.004455	3.4717126	91.15194	-12.908455	-134746.28	4061182.8	4059621.5	20.04877967991829	0.0	0.0	0.95	6904.2556529045105
126429.51225361535	79347.6831399852	274867.5670762753	14293.812173743612	200.0	0.6	0.6	135427.44120908706	0.0	135427.44120908706	135427.44120908706	200.0	0.0	0.0	39	184961.0943374591	62961.4829100494	294229.0501052219	34869.12558401527	200.0	780000	780000	134545.19	41931.67	216716.25	-102146.15	134545.1	41931.37	216190.27	-107279.86	4.0125976	3.5593174	77.92946	-13.005561	-134529.03	4216324.5	4237056.0	20.27986040792465	0.0	0.0	0.91	7086.253910303116
210100.9275401715	46910.404267686004	281577.4038443443	132092.5591580136	200.0	1.0	1.0	238005.53466646463	0.0	238005.53466646463	238005.53466646463	200.0	1.0	1.0	40	184773.6351396485	53650.39985115443	296060.8326923822	61944.1369370757	200.0	800000	800000	134799.67	41526.766	213138.06	-87363.39	134799.61	41526.348	214522.03	-81268.44	3.989631	3.4713995	75.832664	-13.537123	-134772.25	4132277.5	4148663.0	19.80232813425064	0.0	0.0	0.92	7268.521947145462
181009.87518980325	43109.4533690178	259353.3635787726	118289.5440496126	200.0	0.7	0.7	266813.8774169626	0.0	266813.8774169626	266813.8774169626	200.0	1.0	1.0	41	178746.4439969571	59747.922008554066	298761.13303436775	49126.018657793764	200.0	820000	820000	134991.84	41544.66	214566.67	-99010.61	134991.8	41544.805	214298.11	-105342.086	4.00128	3.5677755	91.14777	-15.090504	-134965.81	4201972.5	4194565.5	20.168996831417083	0.0	0.0	0.92	7450.6728847026825
179414.2898821345	44351.94644078042	263771.90763443947	111000.19735462536	200.0	0.9	0.9	113146.58874771869	0.0	113146.58874771869	113146.58874771869	200.0	0.0	0.0	42	188750.85012519368	52568.99753322407	300176.02106561535	74554.35972382082	200.0	840000	840000	135908.84	41274.625	215407.81	-73920.07	135908.84	41275.03	214789.14	-79613.375	4.0042486	3.4778726	81.00794	-14.026403	-135896.66	4143266.2	4139223.8	19.781230617427827	0.0	0.0	0.94	7632.033368349075
241250.45512127486	41116.142185577744	300721.82245130173	158868.0713100048	200.0	1.0	1.0	239579.300345234	0.0	239579.300345234	239579.300345234	200.0	1.0	1.0	43	196080.44582180557	58109.25358734143	295660.0541992952	49672.499814175244	200.0	860000	860000	136069.38	41395.93	215101.33	-89660.57	136069.28	41396.29	214518.83	-95688.164	3.9990063	3.5634673	100.46605	-12.700443	-136046.66	4155676.2	4139375.5	20.142390780830382	0.0	0.0	0.95	7813.411618709564
252678.9074506852	37322.95483126171	297744.3187750486	153071.87248263857	200.0	1.0	1.0	306806.9005845119	0.0	306806.9005845119	306806.9005845119	200.0	1.0	1.0	44	190402.77380019415	59979.788418387034	305694.8992052488	69210.82854909358	200.0	880000	880000	136118.05	41015.844	214264.98	-109779.805	136118.11	41016.566	213616.58	-100225.96	4.00328	3.604992	91.452034	-14.169042	-136098.34	4050012.5	4030656.0	20.06986423301697	0.0	0.0	0.96	7994.9562311172485
175195.78548081787	6056.18231981629	184844.59883185223	165538.10190178998	200.0	1.0	1.0	181272.23041042214	0.0	181272.23041042214	181272.23041042214	200.0	1.0	1.0	45	207363.18255194303	48918.76326904377	294993.49788785493	62807.784139613526	200.0	900000	900000	136360.03	41026.812	214143.11	-71395.37	136359.94	41026.402	213005.56	-79998.734	3.997525	3.6360383	109.327415	-15.269166	-136341.83	3945123.0	3961418.2	19.815861671590806	0.0	0.0	0.95	8177.649822235107
217998.48989336728	47469.34744274562	303410.12697042705	144060.93792502902	200.0	1.0	1.0	291397.17779845657	0.0	291397.17779845657	291397.17779845657	200.0	1.0	1.0	46	199078.55007086086	49834.038773273634	284001.2661106463	66876.83995359269	200.0	920000	920000	137081.05	40886.41	212720.38	-99887.46	137081.06	40886.914	213006.62	-94031.4	4.001574	3.6192794	75.92085	-12.833457	-137074.38	3886666.5	3893986.0	20.14334728603363	0.0	0.0	0.95	8358.9797372818
265087.69350613275	20109.539341842526	293754.17359232885	228580.004800719	200.0	1.0	1.0	203491.63064511944	0.0	203491.63064511944	203491.63064511944	200.0	1.0	1.0	47	192822.39487842523	53093.72814990161	292941.18908956816	69320.5473253482	200.0	940000	940000	136755.92	40664.188	211414.5	-86082.22	136755.86	40663.99	211851.9	-80281.87	4.0011644	3.6245477	88.58405	-12.640404	-136740.89	3832475.2	3831790.5	19.601128290367125	0.0	0.0	0.96	8541.48403954506
245176.88500857624	22982.853477654993	280274.481156232	193110.07595696027	200.0	1.0	1.0	228621.88477844428	0.0	228621.88477844428	228621.88477844428	200.0	1.0	1.0	48	200540.18721777678	52670.19833636678	305753.4033982361	79912.19037229347	200.0	960000	960000	137544.0	40446.54	212043.77	-81996.664	137544.02	40446.69	211843.8	-95357.25	3.9979417	3.6527607	80.1071	-13.144983	-137533.89	3868091.2	3860439.5	19.769405167007445	0.0	0.0	0.95	8723.899717092514
230488.78715634608	37847.512638810746	287779.03732686397	160110.63791788567	200.0	1.0	1.0	249511.65069110022	0.0	249511.65069110022	249511.65069110022	200.0	1.0	1.0	49	182858.44954206704	55338.76452886719	286881.58984630037	36385.3911483503	200.0	980000	980000	137944.77	40448.574	212450.0	-102428.83	137944.78	40448.332	212331.02	-107492.93	4.010033	3.644063	85.070854	-14.322724	-137932.62	3803315.0	3810071.2	19.285880436038973	0.0	0.0	0.89	8905.416494369507
181367.85167407527	51756.35194740399	262019.47021519823	113998.89099154579	200.0	0.8	0.8	287914.46797345846	0.0	287914.46797345846	287914.46797345846	200.0	1.0	1.0	50	210127.10000810173	45609.830592150305	298685.3395568105	99190.038346995	200.0	1000000	1000000	138220.4	40370.43	211315.86	-90452.73	138220.36	40370.273	211441.19	-95652.07	4.0022173	3.6914613	87.135086	-14.033804	-138216.47	3856516.0	3856500.0	19.68688091983795	0.0	0.0	0.97	9087.519072294235
