test/stochastic/0/stick-pull-v1/return/avg	test/stochastic/0/stick-pull-v1/return/std	test/stochastic/0/stick-pull-v1/return/max	test/stochastic/0/stick-pull-v1/return/min	test/stochastic/0/stick-pull-v1/ep_length	test/stochastic/0/stick-pull-v1/success	test/stochastic/average_success	test/deterministic/0/stick-pull-v1/return/avg	test/deterministic/0/stick-pull-v1/return/std	test/deterministic/0/stick-pull-v1/return/max	test/deterministic/0/stick-pull-v1/return/min	test/deterministic/0/stick-pull-v1/ep_length	test/deterministic/0/stick-pull-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
204620.84	152029.86	406725.53	41.277622	200.0	0.4	0.4	749903.4	0.0	749903.4	749903.4	200.0	1.0	1.0	27	219906.31	134148.23	499383.38	-23.701824	200.0	540000	540000	62897.938	68281.36	358391.7	-141037.3	62899.105	68278.72	355652.38	-138856.62	4.001235	3.9203887	65.54492	-14.92445	-63318.617	8655947.0	8704188.0	36.70118461523056	0.0	0.0	0.62	4980.325286388397
194803.55	105083.94	374745.84	100553.26	200.0	0.2	0.2	259370.0	0.0	259370.0	259370.0	200.0	0.0	0.0	28	245583.55	148489.56	567724.8	-16.288643	200.0	560000	560000	69497.055	73016.49	358233.53	-165803.19	69497.47	73014.9	350473.47	-160166.66	4.0024652	3.8725753	47.154255	-12.932175	-69946.39	9630962.0	9649328.0	38.67926074905395	0.0	0.0	0.69	5172.336058855057
-7.4434624	1.8678484	-5.095224	-12.30864	200.0	0.0	0.0	-7.277620027990285	0.0	-7.277620027990285	-7.277620027990285	200.0	0.0	0.0	29	271316.8	149980.75	626172.2	-15.536867	200.0	580000	580000	77969.9	78493.78	359768.22	-214009.88	77971.34	78490.5	360572.9	-209537.08	4.0023584	3.7827222	52.235306	-14.05671	-78454.586	10693088.0	10759669.0	42.018748169517515	0.0	0.0	0.79	5363.726670503616
385749.3	102944.8	620732.0	265512.56	200.0	0.9	0.9	404544.03	0.0	404544.03	404544.03	200.0	1.0	1.0	30	265257.53	149513.42	738928.4	-12.98172	200.0	600000	600000	86525.805	84503.24	362675.16	-220118.08	86527.26	84499.266	359391.12	-215475.45	4.002672	3.7480512	44.283333	-16.00203	-87059.52	12012271.0	12160341.0	45.94411931304931	0.0	0.0	0.84	5555.556023359299
-9.7041333238783	2.2363506159607525	-3.4450080394744873	-11.921512294151158	200.0	0.0	0.0	-9.898226834041168	0.0	-9.898226834041168	-9.898226834041168	200.0	0.0	0.0	31	267317.000340132	164043.27976835906	543240.3125	-18.249191355016936	200.0	620000	620000	95923.27	89929.42	370569.56	-263535.84	95924.45	89925.35	365955.72	-267152.72	4.002531	3.7798278	53.188423	-15.243554	-96484.86	13111706.0	13267223.0	49.33926174964905	0.0	0.0	0.82	5746.399309873581
90340.55	66067.86	252974.9	55.928154	200.0	0.4	0.4	255159.33	0.0	255159.33	255159.33	200.0	0.0	0.0	32	294683.4	136945.14	568389.75	-13.33369	200.0	640000	640000	102388.96	93692.14	366613.75	-293088.3	102390.04	93689.164	367146.84	-289975.9	4.001983	3.737491	54.982414	-15.310518	-102922.49	13734217.0	13846086.0	51.68001809711456	0.0	0.0	0.88	5938.313127040863
268900.72	116822.38	420016.62	119708.22	200.0	0.8	0.8	392128.88	0.0	392128.88	392128.88	200.0	1.0	1.0	33	282202.38	174255.88	644326.1	-16.307522	200.0	660000	660000	105442.14	95564.31	369921.12	-273584.12	105442.11	95562.4	367261.5	-272569.16	4.0008826	3.6993432	45.68815	-14.713831	-105951.86	14190697.0	14336895.0	52.99527871723175	0.0	0.0	0.78	6130.817871570587
537071.5	194166.05	736106.9	4205.3228	200.0	0.9	0.9	555327.5	0.0	555327.5	555327.5	200.0	1.0	1.0	34	321363.44	160333.97	574716.06	-14.299464	200.0	680000	680000	109824.42	98285.984	376428.47	-277013.7	109824.6	98284.875	374856.8	-280925.25	4.0029893	3.712992	37.84542	-13.849125	-110365.98	14695658.0	14787533.0	55.05309117012024	0.0	0.0	0.83	6322.765339136124
185091.62	192579.61	488386.7	-14.079432	200.0	0.5	0.5	329359.34	0.0	329359.34	329359.34	200.0	1.0	1.0	35	318419.22	170148.16	714014.56	-15.026062	200.0	700000	700000	116086.63	100989.68	375871.16	-282493.97	116086.6	100988.73	377593.6	-278636.38	3.999128	3.741013	36.114876	-13.924209	-116648.04	15073151.0	15116739.0	57.08546443595886	0.0	0.0	0.88	6513.883061170578
461368.84	135788.81	740781.25	300949.88	200.0	1.0	1.0	361801.56	0.0	361801.56	361801.56	200.0	1.0	1.0	36	326251.7	147056.53	622745.06	-13.629942	200.0	720000	720000	121460.98	103523.05	388979.75	-303497.56	121460.93	103522.21	388485.03	-298577.2	4.0012107	3.634658	40.038097	-12.502356	-121984.336	15689507.0	15761493.0	57.84960151672363	0.0	0.0	0.87	6705.157647848129
306312.06	124212.56	477254.12	64489.125	200.0	1.0	1.0	326903.16	0.0	326903.16	326903.16	200.0	1.0	1.0	37	327288.5	143665.78	608208.7	18.963537	200.0	740000	740000	125083.02	104769.06	388253.38	-304939.56	125083.01	104768.42	387850.16	-305547.4	3.9988508	3.662897	43.68831	-14.861069	-125613.61	15861380.0	15879687.0	59.296140185928344	0.0	0.0	0.91	6897.300537586212
222603.47648931463	169105.77687344892	492867.5	-11.172606853640549	200.0	0.9	0.9	243116.08	0.0	243116.08	243116.08	200.0	1.0	1.0	38	371514.4	132230.4	584555.5	-7.016121	200.0	760000	760000	130294.63	106998.59	395410.9	-326133.5	130294.914	106997.55	396001.25	-328772.97	4.000433	3.6646245	47.0604	-13.274073	-130831.945	15917849.0	15990437.0	60.355108233261106	0.0	0.0	0.95	7088.603539228439
255213.38	209180.86	726104.1	-16.56892	200.0	0.8	0.8	396051.38	0.0	396051.38	396051.38	200.0	1.0	1.0	39	341772.3	155251.52	705147.3	-12.30374	200.0	780000	780000	135884.5	109006.8	402700.12	-341116.44	135885.02	109004.95	402252.0	-332916.94	4.0035367	3.5866792	51.79531	-14.806721	-136432.08	16395108.0	16528658.0	61.53752665767669	0.0	0.0	0.9	7279.912923812866
489791.7	81458.94	641896.8	386156.03	200.0	1.0	1.0	467213.38	0.0	467213.38	467213.38	200.0	1.0	1.0	40	396363.97	141921.69	655461.7	-21.948912	200.0	800000	800000	139694.9	110306.44	402669.44	-331910.7	139695.5	110304.35	403225.47	-336021.94	4.0036798	3.5919027	50.095104	-14.177715	-140228.25	16417554.0	16520218.0	61.863468543052676	0.0	0.0	0.94	7471.429528474808
433374.75	107151.79	528392.7	208841.48	200.0	1.0	1.0	385533.3	0.0	385533.3	385533.3	200.0	1.0	1.0	41	383084.97	160675.61	687251.9	-16.73136	200.0	820000	820000	143357.4	111775.75	414316.75	-331479.62	143357.23	111776.16	411708.4	-343094.3	3.9976199	3.6032696	50.286976	-14.186611	-143895.64	17053664.0	17064806.0	64.59139163513184	0.0	0.0	0.95	7662.3648319244385
428736.2	182015.73	712588.06	90269.35	200.0	0.8	0.8	539326.94	0.0	539326.94	539326.94	200.0	1.0	1.0	42	411715.7	142459.78	681105.4	26187.045	200.0	840000	840000	148865.36	114115.31	418363.53	-291741.44	148865.25	114115.13	418362.38	-295683.78	4.0021634	3.594428	48.138435	-13.675162	-149393.58	17267414.0	17299356.0	65.07016892528534	0.0	0.0	1.0	7853.564121723175
498396.6	40601.496	565150.44	416433.3	200.0	1.0	1.0	732596.2	0.0	732596.2	732596.2	200.0	1.0	1.0	43	344710.6	168338.94	715319.25	10.702576	200.0	860000	860000	153553.36	115371.375	426639.53	-294448.0	153553.39	115370.305	424189.56	-302154.4	4.0002165	3.5583837	54.322918	-14.890539	-154085.05	17447958.0	17553382.0	68.08225129146575	0.0	0.0	0.93	8043.84521317482
507163.9	100953.94	644595.2	325634.25	200.0	1.0	1.0	528072.44	0.0	528072.44	528072.44	200.0	1.0	1.0	44	384850.6	160288.73	696083.75	-8.866365	200.0	880000	880000	155632.97	117422.26	431219.94	-295548.53	155633.45	117421.54	431574.22	-310752.9	4.00139	3.60878	51.220253	-14.28414	-156129.31	17775602.0	17809514.0	68.42997276039124	0.0	0.0	0.95	8234.696920394897
450954.16	186879.47	616666.4	60759.996	200.0	0.9	0.9	593263.3	0.0	593263.3	593263.3	200.0	1.0	1.0	45	386502.9	152014.55	681433.0	-8.32156	200.0	900000	900000	159584.31	119063.86	435900.44	-242011.45	159584.11	119063.49	435445.22	-246868.78	4.0012193	3.5887356	39.951534	-13.474443	-160082.38	18507934.0	18588372.0	68.93132569847107	0.0	0.0	0.94	8425.421379327774
465250.0	173354.89	667884.56	155683.97	200.0	1.0	1.0	579536.75	0.0	579536.75	579536.75	200.0	1.0	1.0	46	392354.25	166135.08	702260.3	-12.6161	200.0	920000	920000	162912.1	120721.26	442119.75	-233970.06	162911.95	120720.2	442803.66	-252311.11	4.0019155	3.5781806	38.03048	-12.52034	-163399.88	18912514.0	18999508.0	70.0847528453827	0.0	0.0	0.95	8616.193197250366
-4.8353868	0.7023846	-3.4496639	-5.829346	200.0	0.0	0.0	-4.4840612	0.0	-4.4840612	-4.4840612	200.0	0.0	0.0	47	388302.03	136438.6	616772.3	46.042805	200.0	940000	940000	167506.22	122740.92	447175.34	-242083.17	167506.25	122739.92	445047.38	-239354.08	3.9989617	3.5749454	51.06164	-17.523916	-167997.9	19191266.0	19307210.0	73.0770233669281	0.0	0.0	0.95	8806.945448875427
472767.34	179468.6	716144.2	-9.839286	200.0	0.9	0.9	463608.72	0.0	463608.72	463608.72	200.0	1.0	1.0	48	387627.4	153967.78	694902.0	-32.475094	200.0	960000	960000	170136.25	124205.79	452996.66	-271880.75	170135.78	124206.2	450386.56	-271533.38	4.001871	3.555421	50.30796	-13.351326	-170605.19	19630568.0	19698168.0	73.3077927532196	0.0	0.0	0.95	8998.357224464417
267678.44	167483.86	472372.3	18.748596	200.0	0.3	0.3	425634.84	0.0	425634.84	425634.84	200.0	1.0	1.0	49	421797.4	157910.23	709715.25	-11.144374	200.0	980000	980000	173790.0	125401.27	457495.56	-307261.53	173789.83	125400.95	457506.97	-307799.56	4.001961	3.5564542	46.872803	-14.104799	-174249.27	19305528.0	19390034.0	73.746107762146	0.0	0.0	0.93	9189.90470290184
482207.0	181130.92	658401.5	-4.574328	200.0	0.9	0.9	627714.3	0.0	627714.3	627714.3	200.0	1.0	1.0	50	395737.9	146853.28	643809.94	-12.7431965	200.0	1000000	1000000	177286.4	127050.83	464365.5	-326965.56	177286.28	127050.22	464694.47	-324992.5	3.9979956	3.538629	52.73774	-14.825682	-177725.16	20137172.0	20249566.0	75.83402017860412	0.0	0.0	0.96	9380.889435768127
